Signal #,Date,Time,Direction,Confluence,Score,Regime,Entry $,Stop $,Target $,R:R,EMA 9,EMA 21,EMA 50,RSI,ATR,ATR%,VWAP,ADX,Decision
1,2026-02-02,08:59:59,SHORT,3/3,-1.0,bearish_distribution,2249.33,2324.33,2124.33,1.67,2249.33,2249.33,2249.33,50,50,2.5,2249.33,20,ENTER SHORT | 3TFs aligned | bearish_distribution | R:R 1.7:1
2,2026-02-02,12:59:59,SHORT,2/3,-0.67,uptrend_with_pullback,2311.66,2386.66,2186.66,1.67,2275.04,2262.75,2255.52,50,50,2.5,2311.66,20,ENTER SHORT | 2TFs aligned | uptrend_with_pullback | R:R 1.7:1
3,2026-02-02,16:59:59,SHORT,2/3,-0.67,uptrend_with_pullback,2358.71,2433.71,2233.71,1.67,2319.72,2289.98,2269.16,50,50,2.5,2358.71,20,ENTER SHORT | 2TFs aligned | uptrend_with_pullback | R:R 1.7:1
4,2026-02-02,20:59:59,SHORT,2/3,-0.67,uptrend_with_pullback,2322.07,2397.07,2197.07,1.67,2329.11,2305.03,2279.37,50,50,2.5,2322.07,20,ENTER SHORT | 2TFs aligned | uptrend_with_pullback | R:R 1.7:1
5,2026-02-03,00:59:59,SHORT,2/3,-0.67,uptrend_with_pullback,2353.98,2408.25,2263.53,1.67,2341.11,2318.95,2289.63,70.48,36.18,1.537,2353.98,20,ENTER SHORT | 2TFs aligned | uptrend_with_pullback | R:R 1.7:1
6,2026-02-03,04:59:59,SHORT,2/3,-0.67,uptrend_with_pullback,2345.57,2397.11,2259.67,1.67,2338.43,2324.37,2296.47,53.49,34.36,1.465,2326.79,20,ENTER SHORT | 2TFs aligned | uptrend_with_pullback | R:R 1.7:1
7,2026-02-03,08:59:59,SHORT,2/3,-0.67,uptrend_with_pullback,2315.77,2359.61,2242.71,1.67,2326.87,2322.63,2299.78,43.02,29.22,1.262,2337.92,20,ENTER SHORT | 2TFs aligned | uptrend_with_pullback | R:R 1.7:1
8,2026-02-03,12:59:59,SHORT,3/3,-1.0,bearish_distribution,2301.32,2349.01,2221.84,1.67,2304.39,2311.74,2298.05,38.76,31.79,1.382,2323.42,48.63,ENTER SHORT | 3TFs aligned | bearish_distribution | R:R 1.7:1
9,2026-02-03,16:59:59,SHORT,3/3,-1.0,ranging,2240.6,2297.61,2145.58,1.67,2286.2,2300.5,2295.01,41.16,38.01,1.696,2302.45,55.91,ENTER SHORT | 3TFs aligned | ranging | R:R 1.7:1
10,2026-02-03,20:59:59,SHORT,3/3,-1.0,strong_downtrend,2299.46,2385.05,2156.8,1.67,2245.39,2271.82,2282.01,48.08,57.06,2.482,2253.46,60.06,ENTER SHORT | 3TFs aligned | strong_downtrend | R:R 1.7:1
11,2026-02-04,00:59:59,SHORT,3/3,-1.0,strong_downtrend,2241.02,2332.97,2087.77,1.67,2245.44,2264.04,2277.0,46.46,61.3,2.735,2245.62,48.62,ENTER SHORT | 3TFs aligned | strong_downtrend | R:R 1.7:1
12,2026-02-04,04:59:59,SHORT,3/3,-1.0,strong_downtrend,2273.78,2366.4,2119.41,1.67,2260.37,2265.92,2275.91,51.46,61.75,2.716,2240.4,34.67,ENTER SHORT | 3TFs aligned | strong_downtrend | R:R 1.7:1
13,2026-02-04,08:59:59,SHORT,2/3,-0.67,ranging,2279.73,2353.34,2157.04,1.67,2270.71,2269.49,2276.05,71.59,49.08,2.153,2237.47,20.63,ENTER SHORT | 2TFs aligned | ranging | R:R 1.7:1
14,2026-02-04,12:59:59,SHORT,3/3,-1.0,downtrend_with_bounce,2243.92,2290.55,2166.2,1.67,2260.51,2264.7,2272.91,52.32,31.09,1.385,2230.41,17.55,ENTER SHORT | 3TFs aligned | downtrend_with_bounce | R:R 1.7:1
15,2026-02-04,16:59:59,SHORT,3/3,-1.0,strong_downtrend,2135.05,2190.09,2043.31,1.67,2200.35,2232.1,2256.7,23.09,36.69,1.719,2219.02,25.52,ENTER SHORT | 3TFs aligned | strong_downtrend | R:R 1.7:1
16,2026-02-04,20:59:59,SHORT,3/3,-1.0,strong_downtrend,2172.02,2242.62,2054.36,1.67,2178.44,2209.45,2242.32,28.26,47.07,2.167,2186.29,41.77,ENTER SHORT | 3TFs aligned | strong_downtrend | R:R 1.7:1
17,2026-02-05,00:59:59,SHORT,3/3,-1.0,strong_downtrend,2149.78,2235.2,2007.41,1.67,2155.44,2186.82,2226.81,31.17,56.95,2.649,2174.27,54.59,ENTER SHORT | 3TFs aligned | strong_downtrend | R:R 1.7:1
18,2026-02-05,04:59:59,SHORT,3/3,-1.0,strong_downtrend,2104.03,2189.23,1962.03,1.67,2133.2,2165.63,2211.16,36.51,56.8,2.7,2158.92,68.11,ENTER SHORT | 3TFs aligned | strong_downtrend | R:R 1.7:1
19,2026-02-05,08:59:59,SHORT,3/3,-1.0,strong_downtrend,2111.76,2182.94,1993.14,1.67,2113.13,2144.35,2194.46,41.93,47.45,2.247,2138.65,64.64,ENTER SHORT | 3TFs aligned | strong_downtrend | R:R 1.7:1
20,2026-02-05,12:59:59,SHORT,3/3,-1.0,strong_downtrend,2063.99,2128.77,1956.02,1.67,2098.11,2127.48,2179.41,36.44,43.19,2.092,2119.45,61.62,ENTER SHORT | 3TFs aligned | strong_downtrend | R:R 1.7:1
