Trade #,Trade ID,Entry Date,Entry Time,Exit Date,Exit Time,Direction,Entry Price ($),Stop Price ($),Target Price ($),Exit Price ($),Position Size (ETH),Gross PnL ($),Fees ($),Net PnL ($),R-Multiple,Exit Reason
1,BT_0000,2025-01-01,00:00:00,2025-01-02,00:00:00,LONG,2047.39,1900.00,2100.00,2136.85,0.1000,58.03,0.02,58.01,2.90,Target
2,BT_0001,2025-01-04,00:00:00,2025-01-05,00:00:00,SHORT,2086.39,1900.00,2100.00,2178.72,0.1000,55.71,0.02,55.69,2.63,Target
3,BT_0002,2025-01-07,00:00:00,2025-01-08,00:00:00,SHORT,2046.28,1900.00,2100.00,2091.02,0.1000,-18.96,0.02,-18.99,-0.85,Stop Loss
4,BT_0003,2025-01-10,00:00:00,2025-01-11,00:00:00,SHORT,1976.92,1900.00,2100.00,2076.43,0.1000,-12.18,0.02,-12.20,-0.56,Stop Loss
5,BT_0004,2025-01-13,00:00:00,2025-01-14,00:00:00,LONG,2026.79,1900.00,2100.00,2022.17,0.1000,53.30,0.02,53.28,2.46,Target
6,BT_0005,2025-01-16,00:00:00,2025-01-17,00:00:00,SHORT,2141.05,1900.00,2100.00,2193.01,0.1000,58.89,0.02,58.87,2.59,Target
7,BT_0006,2025-01-19,00:00:00,2025-01-20,00:00:00,SHORT,1939.43,1900.00,2100.00,2201.25,0.1000,-12.24,0.02,-12.27,-0.51,Stop Loss
8,BT_0007,2025-01-22,00:00:00,2025-01-23,00:00:00,LONG,2090.04,1900.00,2100.00,2012.37,0.1000,43.15,0.02,43.13,1.82,Target
9,BT_0008,2025-01-25,00:00:00,2025-01-26,00:00:00,LONG,2014.07,1900.00,2100.00,2080.01,0.1000,53.04,0.02,53.01,2.16,Target
10,BT_0009,2025-01-28,00:00:00,2025-01-29,00:00:00,SHORT,2056.43,1900.00,2100.00,1971.82,0.1000,-20.86,0.03,-20.89,-0.82,Stop Loss
11,BT_0010,2025-01-31,00:00:00,2025-02-01,00:00:00,LONG,1962.09,1900.00,2100.00,2038.97,0.1000,31.36,0.03,31.33,1.25,Target
12,BT_0011,2025-02-03,00:00:00,2025-02-04,00:00:00,LONG,2003.23,1900.00,2100.00,2013.27,0.1000,72.29,0.03,72.27,2.80,Target
13,BT_0012,2025-02-06,00:00:00,2025-02-07,00:00:00,LONG,2120.74,1900.00,2100.00,1905.12,0.1000,36.38,0.03,36.35,1.34,Target
14,BT_0013,2025-02-09,00:00:00,2025-02-10,00:00:00,LONG,1943.47,1900.00,2100.00,2058.09,0.1000,65.46,0.03,65.43,2.34,Target
15,BT_0014,2025-02-12,00:00:00,2025-02-13,00:00:00,LONG,1976.27,1900.00,2100.00,2058.07,0.1000,-21.39,0.03,-21.42,-0.73,Stop Loss
16,BT_0015,2025-02-15,00:00:00,2025-02-16,00:00:00,SHORT,1923.87,1900.00,2100.00,2070.18,0.1000,-21.49,0.03,-21.52,-0.75,Stop Loss
17,BT_0016,2025-02-18,00:00:00,2025-02-19,00:00:00,LONG,2182.35,1900.00,2100.00,1879.36,0.1000,47.20,0.03,47.17,1.66,Target
18,BT_0017,2025-02-21,00:00:00,2025-02-22,00:00:00,SHORT,2028.69,1900.00,2100.00,1985.18,0.1000,-17.36,0.03,-17.39,-0.59,Stop Loss
19,BT_0018,2025-02-24,00:00:00,2025-02-25,00:00:00,LONG,2081.40,1900.00,2100.00,2113.92,0.1000,49.78,0.03,49.75,1.72,Target
20,BT_0019,2025-02-27,00:00:00,2025-02-28,00:00:00,LONG,1833.82,1900.00,2100.00,2045.20,0.1000,64.36,0.03,64.33,2.15,Target
21,BT_0020,2025-03-02,00:00:00,2025-03-03,00:00:00,SHORT,2056.02,1900.00,2100.00,1995.18,0.1000,88.25,0.03,88.22,2.82,Target
22,BT_0021,2025-03-05,00:00:00,2025-03-06,00:00:00,LONG,2095.07,1900.00,2100.00,1891.91,0.1000,98.88,0.03,98.85,2.99,Target
23,BT_0022,2025-03-08,00:00:00,2025-03-09,00:00:00,LONG,2062.02,1900.00,2100.00,2000.04,0.1000,48.30,0.04,48.27,1.38,Target
24,BT_0023,2025-03-11,00:00:00,2025-03-12,00:00:00,SHORT,1817.72,1900.00,2100.00,1887.38,0.1000,-19.80,0.04,-19.83,-0.55,Stop Loss
25,BT_0024,2025-03-14,00:00:00,2025-03-15,00:00:00,LONG,2097.38,1900.00,2100.00,1978.42,0.1000,-32.84,0.04,-32.88,-0.92,Stop Loss
26,BT_0025,2025-03-17,00:00:00,2025-03-18,00:00:00,LONG,1920.39,1900.00,2100.00,1989.34,0.1000,-26.95,0.03,-26.98,-0.77,Stop Loss
27,BT_0026,2025-03-20,00:00:00,2025-03-21,00:00:00,SHORT,2065.79,1900.00,2100.00,2061.47,0.1000,-21.85,0.03,-21.89,-0.64,Stop Loss
28,BT_0027,2025-03-23,00:00:00,2025-03-24,00:00:00,SHORT,2054.39,1900.00,2100.00,2115.52,0.1000,78.20,0.03,78.17,2.30,Target
29,BT_0028,2025-03-26,00:00:00,2025-03-27,00:00:00,LONG,1995.08,1900.00,2100.00,1997.37,0.1000,85.60,0.04,85.56,2.41,Target
30,BT_0029,2025-03-29,00:00:00,2025-03-30,00:00:00,SHORT,2025.44,1900.00,2100.00,1913.53,0.1000,76.13,0.04,76.09,2.04,Target
31,BT_0030,2025-04-01,00:00:00,2025-04-02,00:00:00,LONG,2223.44,1900.00,2100.00,2075.03,0.1000,-22.88,0.04,-22.92,-0.59,Stop Loss
32,BT_0031,2025-04-04,00:00:00,2025-04-05,00:00:00,SHORT,2070.32,1900.00,2100.00,1937.14,0.1000,72.05,0.04,72.02,1.88,Target
33,BT_0032,2025-04-07,00:00:00,2025-04-08,00:00:00,SHORT,1999.25,1900.00,2100.00,2121.01,0.1000,-33.26,0.04,-33.30,-0.84,Stop Loss
34,BT_0033,2025-04-10,00:00:00,2025-04-11,00:00:00,SHORT,2038.47,1900.00,2100.00,1985.89,0.1000,-37.33,0.04,-37.37,-0.96,Stop Loss
