rank,score,param_key,min_confluence,weighted_threshold,max_risk_per_trade,entry_buffer,avoid_bear_market,return,trades,win_rate,profit_factor,max_drawdown
1,-379.0,3b4d8237,2,0.6,1.5,2.0,True,-100.0,3682,1.0,0.05,100.0
2,-379.0,46ada7d1,2,0.6,1.5,2.0,False,-100.0,3682,1.0,0.05,100.0
3,-379.0,a5ff4f6a,2,0.65,1.5,2.0,True,-100.0,3682,1.0,0.05,100.0
4,-379.0,c212d359,2,0.65,1.5,2.0,False,-100.0,3682,1.0,0.05,100.0
5,-379.1,2a3fc66a,2,0.6,2.0,2.0,True,-100.0,3682,1.0,0.04,100.0
6,-379.1,d62376af,2,0.6,2.0,2.0,False,-100.0,3682,1.0,0.04,100.0
7,-379.1,18abe03d,2,0.6,2.5,2.0,True,-100.0,3682,1.0,0.04,100.0
8,-379.1,be14bc8e,2,0.6,2.5,2.0,False,-100.0,3682,1.0,0.04,100.0
9,-379.6,d6b9ea6a,2,0.6,1.5,3.0,True,-100.0,3682,0.2,0.03,100.0
10,-379.6,15172361,2,0.6,1.5,3.0,False,-100.0,3682,0.2,0.03,100.0
11,-379.6,f567ee27,2,0.6,2.0,3.0,True,-100.0,3682,0.2,0.03,100.0
12,-379.6,21616447,2,0.6,2.0,3.0,False,-100.0,3682,0.2,0.03,100.0
13,-379.6,e0e8ffdb,2,0.6,2.5,3.0,True,-100.0,3682,0.2,0.03,100.0
14,-379.6,9a8a5976,2,0.6,2.5,3.0,False,-100.0,3682,0.2,0.03,100.0
15,-380.0,9d3cab63,2,0.6,1.5,4.0,True,-100.0,3682,0.0,0.0,100.0
16,-380.0,e26b404b,2,0.6,1.5,4.0,False,-100.0,3682,0.0,0.0,100.0
17,-380.0,5fe2a609,2,0.6,2.0,4.0,True,-100.0,3682,0.0,0.0,100.0
18,-380.0,854dd264,2,0.6,2.0,4.0,False,-100.0,3682,0.0,0.0,100.0
19,-380.0,230f4435,2,0.6,2.5,4.0,True,-100.0,3682,0.0,0.0,100.0
20,-380.0,b6250a82,2,0.6,2.5,4.0,False,-100.0,3682,0.0,0.0,100.0
