rank,score,param_key,min_confluence,weighted_threshold,max_risk_per_trade,min_rr_ratio,avoid_bear_market,return,trades,win_rate,profit_factor,max_drawdown
1,-97.32,9d5fbd2c,2,0.65,1.5,2.0,True,-51.36,619,29.2,0.89,66.99
2,-97.32,92557a0f,2,0.65,1.5,2.0,False,-51.36,619,29.2,0.89,66.99
3,-105.11,64002bf8,2,0.6,1.5,2.0,True,-55.45,663,29.4,0.88,70.3
4,-105.11,b2a3b312,2,0.6,1.5,2.0,False,-55.45,663,29.4,0.88,70.3
5,-107.72,64002bf8,2,0.6,1.5,3.0,True,-54.56,663,25.8,0.9,76.25
6,-107.72,b2a3b312,2,0.6,1.5,3.0,False,-54.56,663,25.8,0.9,76.25
7,-108.76,64002bf8,2,0.6,1.5,2.5,True,-56.13,663,27.3,0.88,74.31
8,-108.76,b2a3b312,2,0.6,1.5,2.5,False,-56.13,663,27.3,0.88,74.31
9,-130.36,cc997125,2,0.6,2.0,2.0,True,-68.57,663,29.4,0.87,81.35
10,-130.36,5543bae9,2,0.6,2.0,2.0,False,-68.57,663,29.4,0.87,81.35
11,-133.22,cc997125,2,0.6,2.0,3.0,True,-68.18,663,25.8,0.89,86.28
12,-133.22,5543bae9,2,0.6,2.0,3.0,False,-68.18,663,25.8,0.89,86.28
13,-133.94,cc997125,2,0.6,2.0,2.5,True,-69.42,663,27.3,0.87,84.7
14,-133.94,5543bae9,2,0.6,2.0,2.5,False,-69.42,663,27.3,0.87,84.7
15,-149.2,15a6c1be,2,0.6,2.5,2.0,True,-78.67,663,29.4,0.86,88.62
16,-149.2,225adc2e,2,0.6,2.5,2.0,False,-78.67,663,29.4,0.86,88.62
17,-152.1,15a6c1be,2,0.6,2.5,3.0,True,-78.71,663,25.8,0.88,92.34
18,-152.1,225adc2e,2,0.6,2.5,3.0,False,-78.71,663,25.8,0.88,92.34
19,-152.44,15a6c1be,2,0.6,2.5,2.5,True,-79.56,663,27.3,0.86,91.17
20,-152.44,225adc2e,2,0.6,2.5,2.5,False,-79.56,663,27.3,0.86,91.17
